nickname,count
The Triggerman,1
D-Rod,1
The Ninja,1
Water Buffalo,1
Havoc,1
Netto BJJ,1
Chaos,1
Sergipano,1
The Blaze,1
Chocolate,1
Venezuelan Fighter,1
Fightbot,1
Kazula,1
Bebezao,1
Bon Gamin,1
Imadlo,1
The Black Belt Hunter,1
The Sledgehammer,1
The Judge,1
Too Sweet,1
The Shanimal,1
Chata Tuska,1
Knightmare,1
The Death Star,1
Moggly,1
The Eraser,1
DC,1
The Karate Kid,1
Mean Machine,1
The Tyrant,1
The Stormtrooper,1
Ironside,1
The Fresh Prince,1
Downtown,1
Combat Wombat,1
Slippery,1
The Korean Assassin,1
Tshilobo,1
The Mongolian Knight,1
Storm,1
Sseda,1
The Tibetan Eagle,1
The Iron Turtle,1
Mulan,1
The Assassin,1
Smile Killer,1
Magic Man,1
King of Kung Fu,1
Pacu,1
Bulldozer,1
She Wolf,1
Warrior,1
The Miracle,1
Beckan,1
The Eagle,1
The Scrapper,1
Native Psycho,1
Prime Time,1
Boondock,1
Sorriso,1
Miss Simpatia,1
The Assassin Baby,1
El Pantera,1
Tank,1
Mach,1
Danish Dynamite,1
The Olympian,1
Bulldog,1
Firefist,1
Quake,1
Infinite,1
Bad Man,1
The Celtic Kid,1
The Jedi,1
The Reaper,1
El Charro,1
J-Lau,1
Daddy Long Legs,1
The Bulldozer,1
The All-American,1
Man Mountain,1
Overtime,1
Dangerous,1
Drago,1
Nidas,1
The James Krause,1
The Natural Born Killer,1
Jessy Jess,1
Little Bully,1
Dynamite,1
Ninja,1
Valhalla,1
The Korean Superboy,1
The Mangler,1
The Sleek Sheik,1
Judo Thunder,1
Thominhas,1
Bodao,1
The Silencer,1
Ju Thai,1
Pepey,1
Bopo,1
One Bad Mofo,1
Marajo,1
Nuguette,1
D'Silva,1
Pugnus,1
10,1
The Bandit,1
Beatdown,1
Silverback,1
Super Samoan,1
The People's Warrior,1
Little Fury,1
Mantis,1
GT,1
Boom,1
Big Swingin,1
Kid Lightning,1
The Doberman,1
Lightning,1
Alpha,1
Sugar,1
T-City,1
The Hand Of,1
Wicked Machine,1
Ragin,1
Fire Kid,1
Vai Cavalo,1
Rowdy,1
Lil Bulldog,1
Gritz,1
The Animal,1
Siwy,1
Chicano,1
The Dominican Nightmare,1
The Pikey,1
Gorets,1
ABC,1
Bure,1
The Disciple,1
Bear,1
The Haitian Sensation,1
The Thundercat,1
The Monkey God,1
Shorty,1
Suga,1
Daywalker,1
The Brown Bomber,1
The Action Man,1
He-Man,1
The Beverley Hills Ninja,1
Yazzle Dazzle,1
Ulka,1
Sucuri,1
Animal,1
Dy Incredible,1
Sertanejo,1
