R_fighter,B_fighter,title_bout,date,weight_class,Winner
Jessica Eye,Joanne Calderwood,False,2021-01-23,WomenFlyweight,Blue
Dustin Poirier,Conor McGregor,False,2021-01-23,Lightweight,Red
Brad Tavares,Antonio Carlos Junior,False,2021-01-23,Middleweight,Red
Arman Tsarukyan,Matt Frevola,False,2021-01-23,Lightweight,Red
Marina Rodriguez,Amanda Ribas,False,2021-01-23,WomenStrawweight,Red
Amir Albazi,Zhalgas Zhumagulov,False,2021-01-23,Flyweight,Red
Khalil Rountree Jr.,Marcin Prachnio,False,2021-01-23,LightHeavyweight,Blue
Nik Lentz,Movsar Evloev,False,2021-01-23,CatchWeight,Blue
Ricky Simon,Gaetano Pirrello,False,2021-01-20,Bantamweight,Red
Omari Akhmedov,Tom Breese,False,2021-01-20,Middleweight,Red
Warlley Alves,Mounir Lazzez,False,2021-01-20,Welterweight,Red
Matt Schnell,Tyson Nam,False,2021-01-20,Flyweight,Red
Roxanne Modafferi,Viviane Araujo,False,2021-01-20,WomenFlyweight,Blue
Ike Villanueva,Vinicius Moreira,False,2021-01-20,LightHeavyweight,Red
Michael Chiesa,Neil Magny,False,2021-01-20,Welterweight,Red
Lerone Murphy,Douglas Silva de Andrade,False,2021-01-20,Featherweight,Red
Su Mudaerji,Zarrukh Adashev,False,2021-01-20,Flyweight,Red
Francisco Figueiredo,Jerome Rivera,False,2021-01-20,Flyweight,Red
Mike Davis,Mason Jones,False,2021-01-20,Lightweight,Red
Dalcha Lungiambula,Markus Perez,False,2021-01-20,Middleweight,Red
Umar Nurmagomedov,Sergey Morozov,False,2021-01-20,Bantamweight,Red
Victoria Leonardo,Manon Fiorot,False,2021-01-20,WomenFlyweight,Blue
Wu Yanan,Joselyne Edwards,False,2021-01-16,WomenBantamweight,Blue
Punahele Soriano,Dusko Todorovic,False,2021-01-16,Middleweight,Red
Carlos Felipe,Justin Tafa,False,2021-01-16,Heavyweight,Red
Carlos Condit,Matt Brown,False,2021-01-16,Welterweight,Red
David Zawada,Ramazan Emeev,False,2021-01-16,Welterweight,Blue
Joaquin Buckley,Alessio Di Chirico,False,2021-01-16,Middleweight,Blue
Santiago Ponzinibbio,Li Jingliang,False,2021-01-16,Welterweight,Blue
Max Holloway,Calvin Kattar,False,2021-01-16,Featherweight,Red
Sarah Moras,Vanessa Melo,False,2021-01-16,WomenBantamweight,Blue
Jacob Kilburn,Austin Lingo,False,2021-01-16,Featherweight,Blue
Marlon Moraes,Rob Font,False,2020-12-19,Bantamweight,Blue
Sijara Eubanks,Pannie Kianzad,False,2020-12-19,WomenBantamweight,Blue
Deron Winn,Antonio Arroyo,False,2020-12-19,CatchWeight,Red
Stephen Thompson,Geoff Neal,False,2020-12-19,Welterweight,Red
Jose Aldo,Marlon Vera,False,2020-12-19,Bantamweight,Red
Anthony Pettis,Alex Morono,False,2020-12-19,Welterweight,Red
Marcin Tybura,Greg Hardy,False,2020-12-19,Heavyweight,Red
Michel Pereira,Khaos Williams,False,2020-12-19,Welterweight,Red
Gillian Robertson,Taila Santos,False,2020-12-19,WomenFlyweight,Blue
Jimmy Flick,Cody Durden,False,2020-12-19,Flyweight,Red
Tafon Nchukwi,Jamie Pickett,False,2020-12-19,Middleweight,Red
Christos Giagos,Carlton Minus,False,2020-12-19,CatchWeight,Red
Renato Moicano,Rafael Fiziev,False,2020-12-12,Lightweight,Blue
Kevin Holland,Jacare Souza,False,2020-12-12,Middleweight,Red
Mackenzie Dern,Virna Jandiroba,False,2020-12-12,WomenStrawweight,Red
Tony Ferguson,Charles Oliveira,False,2020-12-12,Lightweight,Blue
Deiveson Figueiredo,Brandon Moreno,True,2020-12-12,Flyweight,Draw
Junior Dos Santos,Ciryl Gane,False,2020-12-12,Heavyweight,Blue
Gavin Tucker,Billy Quarantillo,False,2020-12-12,Featherweight,Red
Cub Swanson,Daniel Pineda,False,2020-12-12,Featherweight,Red
Tecia Torres,Sam Hughes,False,2020-12-12,WomenStrawweight,Red
Chase Hooper,Peter Barrett,False,2020-12-12,Featherweight,Red
Gabriel Benitez,Justin Jaynes,False,2020-12-05,Lightweight,Red
Roman Dolidze,John Allan,False,2020-12-05,LightHeavyweight,Red
Ilia Topuria,Damon Jackson,False,2020-12-05,Featherweight,Red
Louis Smolka,Jose Quinonez,False,2020-12-05,Bantamweight,Red
Gian Villante,Jake Collier,False,2020-12-05,Heavyweight,Blue
