R_fighter,B_fighter,title_bout,date,weight_class,Winner
Raoni Barcelos,Carlos Huachin,False,2019-05-11,Bantamweight,Red
BJ Penn,Clay Guida,False,2019-05-11,Lightweight,Blue
Luana Carolina,Priscila Cachoeira,False,2019-05-11,WomenFlyweight,Red
Talita Bernardo,Viviane Araujo,False,2019-05-11,WomenBantamweight,Blue
Walt Harris,Serghei Spivac,False,2019-05-04,Heavyweight,Red
Al Iaquinta,Donald Cerrone,False,2019-05-04,Lightweight,Blue
Marc-Andre Barriault,Andrew Sanchez,False,2019-05-04,Middleweight,Blue
Aiemann Zahabi,Vince Morales,False,2019-05-04,Bantamweight,Blue
Derek Brunson,Elias Theodorou,False,2019-05-04,Middleweight,Red
Macy Chiasson,Sarah Moras,False,2019-05-04,WomenBantamweight,Red
Cub Swanson,Shane Burgos,False,2019-05-04,Featherweight,Blue
Brad Katona,Merab Dvalishvili,False,2019-05-04,Bantamweight,Blue
Nordine Taleb,Kyle Prepolec,False,2019-05-04,Welterweight,Red
Kyle Nelson,Matt Sayles,False,2019-05-04,Featherweight,Blue
Arjan Bhullar,Juan Adams,False,2019-05-04,Heavyweight,Red
Mitch Gagnon,Cole Smith,False,2019-05-04,Bantamweight,Blue
Andrei Arlovski,Augusto Sakai,False,2019-04-27,Heavyweight,Blue
Glover Teixeira,Ion Cutelaba,False,2019-04-27,LightHeavyweight,Red
Greg Hardy,Dmitrii Smoliakov,False,2019-04-27,Heavyweight,Red
John Lineker,Cory Sandhagen,False,2019-04-27,Bantamweight,Blue
Jacare Souza,Jack Hermansson,False,2019-04-27,Middleweight,Blue
Roosevelt Roberts,Thomas Gifford,False,2019-04-27,Lightweight,Red
Ben Saunders,Takashi Sato,False,2019-04-27,Welterweight,Blue
Alex Oliveira,Mike Perry,False,2019-04-27,Welterweight,Blue
Angela Hill,Jodie Esquibel,False,2019-04-27,WomenStrawweight,Red
Carla Esparza,Virna Jandiroba,False,2019-04-27,WomenStrawweight,Red
Gilbert Burns,Mike Davis,False,2019-04-27,Lightweight,Red
Jim Miller,Jason Gonzalez,False,2019-04-27,Lightweight,Red
Court McGee,Dhiego Lima,False,2019-04-27,Welterweight,Blue
Roxanne Modafferi,Antonina Shevchenko,False,2019-04-20,WomenFlyweight,Red
Alexander Yakovlev,Alex Da Silva,False,2019-04-20,Lightweight,Red
Islam Makhachev,Arman Tsarukyan,False,2019-04-20,Lightweight,Red
Krzysztof Jotko,Alen Amedovski,False,2019-04-20,Middleweight,Red
Sergei Pavlovich,Marcelo Golm,False,2019-04-20,Heavyweight,Red
Alistair Overeem,Aleksei Oleinik,False,2019-04-20,Heavyweight,Red
Movsar Evloev,SeungWoo Choi,False,2019-04-20,Featherweight,Red
Sultan Aliev,Keita Nakamura,False,2019-04-20,Welterweight,Red
Marcin Tybura,Shamil Abdurakhimov,False,2019-04-20,Heavyweight,Blue
Gadzhimurad Antigulov,Michal Oleksiejczuk,False,2019-04-20,LightHeavyweight,Blue
Magomed Mustafaev,Rafael Fiziev,False,2019-04-20,Lightweight,Red
Max Holloway,Dustin Poirier,True,2019-04-13,Lightweight,Blue
Max Griffin,Zelim Imadaev,False,2019-04-13,Welterweight,Red
Eryk Anders,Khalil Rountree Jr.,False,2019-04-13,LightHeavyweight,Blue
Alan Jouban,Dwight Grant,False,2019-04-13,Welterweight,Blue
Jalin Turner,Matt Frevola,False,2019-04-13,Lightweight,Blue
Ovince Saint Preux,Nikita Krylov,False,2019-04-13,LightHeavyweight,Blue
Kelvin Gastelum,Israel Adesanya,True,2019-04-13,Middleweight,Blue
Curtis Millender,Belal Muhammad,False,2019-04-13,Welterweight,Blue
Wilson Reis,Alexandre Pantoja,False,2019-04-13,Flyweight,Blue
Boston Salmon,Khalid Taha,False,2019-04-13,Bantamweight,Blue
Montel Jackson,Andre Soukhamthath,False,2019-04-13,Bantamweight,Red
Brandon Davis,Randy Costa,False,2019-04-13,Bantamweight,Red
Lauren Mueller,Poliana Botelho,False,2019-04-13,WomenFlyweight,Blue
Edson Barboza,Justin Gaethje,False,2019-03-30,Lightweight,Blue
Kennedy Nzechukwu,Paul Craig,False,2019-03-30,LightHeavyweight,Blue
Ross Pearson,Desmond Green,False,2019-03-30,Lightweight,Blue
Sodiq Yusuff,Sheymon Moraes,False,2019-03-30,Featherweight,Red
Karolina Kowalkiewicz,Michelle Waterson,False,2019-03-30,WomenStrawweight,Blue
Marina Rodriguez,Jessica Aguilar,False,2019-03-30,WomenStrawweight,Red
Josh Emmett,Michael Johnson,False,2019-03-30,Featherweight,Red
David Branch,Jack Hermansson,False,2019-03-30,Middleweight,Blue
Ray Borg,Casey Kenney,False,2019-03-30,Bantamweight,Blue
Enrique Barzola,Kevin Aguilar,False,2019-03-30,Featherweight,Blue
Kevin Holland,Gerald Meerschaert,False,2019-03-30,Middleweight,Red
Alex Perez,Mark De La Rosa,False,2019-03-30,Bantamweight,Red
Sabina Mazo,Maryna Moroz,False,2019-03-30,WomenFlyweight,Blue
Bryce Mitchell,Bobby Moffett,False,2019-03-23,Featherweight,Red
Jussier Formiga,Deiveson Figueiredo,False,2019-03-23,Flyweight,Red
Stephen Thompson,Anthony Pettis,False,2019-03-23,Welterweight,Blue
Marlon Vera,Frankie Saenz,False,2019-03-23,Bantamweight,Red
Curtis Blaydes,Justin Willis,False,2019-03-23,Heavyweight,Red
John Makdessi,Jesus Pinedo,False,2019-03-23,Lightweight,Red
Maycee Barber,JJ Aldrich,False,2019-03-23,WomenFlyweight,Red
Luis Pena,Steven Peterson,False,2019-03-23,Featherweight,Red
Randa Markos,Angela Hill,False,2019-03-23,WomenStrawweight,Red
Eric Shelton,Jordan Espinosa,False,2019-03-23,Flyweight,Blue
Alexis Davis,Jennifer Maia,False,2019-03-23,WomenFlyweight,Blue
Ryan MacDonald,Chris Gutierrez,False,2019-03-23,Bantamweight,Blue
Volkan Oezdemir,Dominick Reyes,False,2019-03-16,LightHeavyweight,Blue
Jack Marshman,John Phillips,False,2019-03-16,Middleweight,Red
Nathaniel Wood,Jose Quinonez,False,2019-03-16,Bantamweight,Red
Marc Diakiese,Joe Duffy,False,2019-03-16,Lightweight,Red
Arnold Allen,Jordan Rinaldi,False,2019-03-16,Featherweight,Red
Danny Roberts,Claudio Silva,False,2019-03-16,Welterweight,Blue
Darren Till,Jorge Masvidal,False,2019-03-16,Welterweight,Blue
Leon Edwards,Gunnar Nelson,False,2019-03-16,Welterweight,Red
Danny Henry,Dan Ige,False,2019-03-16,Featherweight,Blue
Molly McCann,Priscila Cachoeira,False,2019-03-16,WomenFlyweight,Red
Nicolae Negumereanu,Saparbeg Safarov,False,2019-03-16,LightHeavyweight,Blue
Mike Grundy,Nad Narimani,False,2019-03-16,Featherweight,Red
Blagoy Ivanov,Ben Rothwell,False,2019-03-09,Heavyweight,Red
Elizeu Zaleski dos Santos,Curtis Millender,False,2019-03-09,Welterweight,Red
Derrick Lewis,Junior Dos Santos,False,2019-03-09,Heavyweight,Blue
Beneil Dariush,Drew Dober,False,2019-03-09,Lightweight,Red
Marion Reneau,Yana Kunitskaya,False,2019-03-09,WomenBantamweight,Blue
Tim Boetsch,Omari Akhmedov,False,2019-03-09,Middleweight,Blue
Anthony Rocco Martin,Sergio Moraes,False,2019-03-09,Welterweight,Red
Tim Means,Niko Price,False,2019-03-09,Welterweight,Blue
Grant Dawson,Julian Erosa,False,2019-03-09,Featherweight,Red
Maurice Greene,Jeff Hughes,False,2019-03-09,Heavyweight,Red
Alex White,Dan Moret,False,2019-03-09,Lightweight,Red
Alex Morono,Zak Ottow,False,2019-03-09,Welterweight,Red
Louis Smolka,Matt Schnell,False,2019-03-09,Bantamweight,Blue
Robbie Lawler,Ben Askren,False,2019-03-02,Welterweight,Blue
Tecia Torres,Zhang Weili,False,2019-03-02,WomenStrawweight,Blue
Cody Garbrandt,Pedro Munhoz,False,2019-03-02,Bantamweight,Blue
Jon Jones,Anthony Smith,True,2019-03-02,LightHeavyweight,Red
Jeremy Stephens,Zabit Magomedsharipov,False,2019-03-02,Featherweight,Blue
Tyron Woodley,Kamaru Usman,True,2019-03-02,Welterweight,Blue
Misha Cirkunov,Johnny Walker,False,2019-03-02,LightHeavyweight,Blue
Cody Stamann,Alejandro Perez,False,2019-03-02,Bantamweight,Red
Diego Sanchez,Mickey Gall,False,2019-03-02,Welterweight,Red
Gina Mazany,Macy Chiasson,False,2019-03-02,WomenBantamweight,Blue
Edmen Shahbazyan,Charles Byrd,False,2019-03-02,Middleweight,Red
Polyana Viana,Hannah Cifers,False,2019-03-02,WomenStrawweight,Blue
Daniel Teymur,Chris Fishgold,False,2019-02-23,Featherweight,Blue
Dwight Grant,Carlo Pedersoli Jr.,False,2019-02-23,Welterweight,Red
Gian Villante,Michal Oleksiejczuk,False,2019-02-23,LightHeavyweight,Blue
Magomed Ankalaev,Klidson Abreu,False,2019-02-23,LightHeavyweight,Red
Liz Carmouche,Lucie Pudilova,False,2019-02-23,WomenFlyweight,Red
Jan Blachowicz,Thiago Santos,False,2019-02-23,LightHeavyweight,Blue
John Dodson,Petr Yan,False,2019-02-23,Bantamweight,Blue
Stefan Struve,Marcos Rogerio de Lima,False,2019-02-23,Heavyweight,Red
Damir Hadzovic,Marco Polo Reyes,False,2019-02-23,Lightweight,Red
Veronica Macedo,Gillian Robertson,False,2019-02-23,WomenFlyweight,Blue
Michel Prazeres,Ismail Naurdiev,False,2019-02-23,Welterweight,Blue
Damir Ismagulov,Joel Alvarez,False,2019-02-23,Lightweight,Red
Rustam Khabilov,Diego Ferreira,False,2019-02-23,Lightweight,Blue
Jimmie Rivera,Aljamain Sterling,False,2019-02-17,Bantamweight,Blue
Alex Caceres,Kron Gracie,False,2019-02-17,Featherweight,Blue
Andre Fili,Myles Jury,False,2019-02-17,Featherweight,Red
Cortney Casey,Cynthia Calvillo,False,2019-02-17,WomenStrawweight,Blue
James Vick,Paul Felder,False,2019-02-17,Lightweight,Blue
Francis Ngannou,Cain Velasquez,False,2019-02-17,Heavyweight,Red
Vicente Luque,Bryan Barberena,False,2019-02-17,Welterweight,Red
Benito Lopez,Manny Bermudez,False,2019-02-17,Bantamweight,Blue
Ashlee Evans-Smith,Andrea Lee,False,2019-02-17,WomenFlyweight,Blue
Aleksandra Albu,Emily Whitmire,False,2019-02-17,WomenStrawweight,Blue
Scott Holtzman,Nik Lentz,False,2019-02-17,Lightweight,Blue
Renan Barao,Luke Sanders,False,2019-02-17,Bantamweight,Blue
Rani Yahya,Ricky Simon,False,2019-02-09,Bantamweight,Blue
Shane Young,Austin Arnett,False,2019-02-09,Featherweight,Red
Montana De La Rosa,Nadia Kassem,False,2019-02-09,WomenFlyweight,Red
Jimmy Crute,Sam Alvey,False,2019-02-09,LightHeavyweight,Red
Lando Vannata,Marcos Mariano,False,2019-02-09,Lightweight,Red
Devonte Smith,Dong Hyun Ma,False,2019-02-09,Lightweight,Red
Israel Adesanya,Anderson Silva,False,2019-02-09,Middleweight,Red
Kai Kara-France,Raulian Paiva,False,2019-02-09,Flyweight,Red
Callan Potter,Jalin Turner,False,2019-02-09,Lightweight,Blue
Wuliji Buren,Jonathan Martinez,False,2019-02-09,Bantamweight,Blue
Teruto Ishihara,Kyung Ho Kang,False,2019-02-09,Bantamweight,Blue
Demian Maia,Lyman Good,False,2019-02-02,Welterweight,Red
Charles Oliveira,David Teymur,False,2019-02-02,Lightweight,Red
Raphael Assuncao,Marlon Moraes,False,2019-02-02,Bantamweight,Blue
Johnny Walker,Justin Ledet,False,2019-02-02,LightHeavyweight,Red
Mara Romero Borella,Taila Santos,False,2019-02-02,WomenFlyweight,Red
Jose Aldo,Renato Moicano,False,2019-02-02,Featherweight,Red
Markus Perez,Anthony Hernandez,False,2019-02-02,Middleweight,Red
Livinha Souza,Sarah Frota,False,2019-02-02,WomenStrawweight,Red
Junior Albini,Jairzinho Rozenstruik,False,2019-02-02,Heavyweight,Blue
Thiago Alves,Max Griffin,False,2019-02-02,Welterweight,Red
Ricardo Ramos,Said Nurmagomedov,False,2019-02-02,Bantamweight,Blue
Geraldo de Freitas,Felipe Colares,False,2019-02-02,Featherweight,Red
Bibulatov Magomed,Rogerio Bontorin,False,2019-02-02,Flyweight,Blue
Henry Cejudo,TJ Dillashaw,True,2019-01-19,Flyweight,Red
Alexander Hernandez,Donald Cerrone,False,2019-01-19,Lightweight,Blue
Joanne Calderwood,Ariane Lipski,False,2019-01-19,WomenFlyweight,Red
Gregor Gillespie,Yancy Medeiros,False,2019-01-19,Lightweight,Red
Glover Teixeira,Karl Roberson,False,2019-01-19,LightHeavyweight,Red
Joseph Benavidez,Dustin Ortiz,False,2019-01-19,Flyweight,Red
Greg Hardy,Allen Crowder,False,2019-01-19,Heavyweight,Blue
Paige VanZant,Rachael Ostovich,False,2019-01-19,WomenFlyweight,Red
Alonzo Menifield,Vinicius Moreira,False,2019-01-19,LightHeavyweight,Red
Cory Sandhagen,Mario Bautista,False,2019-01-19,Bantamweight,Red
Dennis Bermudez,Te Edwards,False,2019-01-19,Lightweight,Red
Kyle Stewart,Chance Rencountre,False,2019-01-19,Welterweight,Blue
Belal Muhammad,Geoff Neal,False,2019-01-19,Welterweight,Blue
Douglas Silva de Andrade,Petr Yan,False,2018-12-29,Bantamweight,Blue
Chad Mendes,Alexander Volkanovski,False,2018-12-29,Featherweight,Blue
Jon Jones,Alexander Gustafsson,True,2018-12-29,LightHeavyweight,Red
Cristiane Justino,Amanda Nunes,True,2018-12-29,WomenFeatherweight,Blue
Carlos Condit,Michael Chiesa,False,2018-12-29,Welterweight,Blue
Cat Zingano,Megan Anderson,False,2018-12-29,WomenFeatherweight,Blue
Ilir Latifi,Corey Anderson,False,2018-12-29,LightHeavyweight,Blue
Andrei Arlovski,Walt Harris,False,2018-12-29,Heavyweight,Draw
Nathaniel Wood,Andre Ewell,False,2018-12-29,Bantamweight,Red
Uriah Hall,Bevon Lewis,False,2018-12-29,Middleweight,Red
BJ Penn,Ryan Hall,False,2018-12-29,Lightweight,Blue
Curtis Millender,Siyar Bahadurzada,False,2018-12-29,Welterweight,Red
Brian Kelleher,Montel Jackson,False,2018-12-29,Bantamweight,Blue
Zak Ottow,Dwight Grant,False,2018-12-15,Welterweight,Red
Jim Miller,Charles Oliveira,False,2018-12-15,Lightweight,Blue
Kevin Lee,Al Iaquinta,False,2018-12-15,Lightweight,Blue
Bobby Green,Drakkar Klose,False,2018-12-15,Lightweight,Blue
Edson Barboza,Dan Hooker,False,2018-12-15,Lightweight,Red
Rob Font,Sergio Pettis,False,2018-12-15,Bantamweight,Red
Gerald Meerschaert,Jack Hermansson,False,2018-12-15,Middleweight,Blue
Jared Gordon,Joaquim Silva,False,2018-12-15,Lightweight,Blue
Trevor Smith,Zak Cummings,False,2018-12-15,Middleweight,Blue
Dan Ige,Jordan Griffin,False,2018-12-15,Featherweight,Red
Adam Milstead,Mike Rodriguez,False,2018-12-15,LightHeavyweight,Blue
Chris de la Rocha,Juan Adams,False,2018-12-15,Heavyweight,Blue
Alex Oliveira,Gunnar Nelson,False,2018-12-08,Welterweight,Blue
Claudia Gadelha,Nina Ansaroff,False,2018-12-08,WomenStrawweight,Blue
Olivier Aubin-Mercier,Gilbert Burns,False,2018-12-08,Lightweight,Blue
Valentina Shevchenko,Joanna Jedrzejczyk,True,2018-12-08,WomenFlyweight,Red
Katlyn Chookagian,Jessica Eye,False,2018-12-08,WomenFlyweight,Blue
Jimi Manuwa,Thiago Santos,False,2018-12-08,LightHeavyweight,Blue
Hakeem Dawodu,Kyle Bochniak,False,2018-12-08,Featherweight,Red
Elias Theodorou,Eryk Anders,False,2018-12-08,Middleweight,Red
Brad Katona,Matthew Lopez,False,2018-12-08,Bantamweight,Red
Diego Ferreira,Kyle Nelson,False,2018-12-08,Lightweight,Red
Max Holloway,Brian Ortega,True,2018-12-08,Featherweight,Red
Devin Clark,Aleksandar Rakic,False,2018-12-08,LightHeavyweight,Blue
Chad Laprise,Dhiego Lima,False,2018-12-08,Welterweight,Blue
Mark Hunt,Justin Willis,False,2018-12-01,Heavyweight,Blue
Wilson Reis,Ben Nguyen,False,2018-12-01,Flyweight,Red
Suman Mokhtarian,Sodiq Yusuff,False,2018-12-01,Featherweight,Blue
Yushin Okami,Aleksei Kunchenko,False,2018-12-01,Welterweight,Blue
Jake Matthews,Anthony Rocco Martin,False,2018-12-01,Welterweight,Blue
Jimmy Crute,Paul Craig,False,2018-12-01,LightHeavyweight,Red
Junior Dos Santos,Tai Tuivasa,False,2018-12-01,Heavyweight,Red
Mauricio Rua,Tyson Pedro,False,2018-12-01,LightHeavyweight,Red
Alex Gorgees,Damir Ismagulov,False,2018-12-01,Lightweight,Blue
Keita Nakamura,Salim Touahri,False,2018-12-01,Welterweight,Red
Elias Garcia,Kai Kara-France,False,2018-12-01,Flyweight,Blue
Mizuto Hirota,Christos Giagos,False,2018-12-01,Lightweight,Blue
Joseph Benavidez,Alex Perez,False,2018-11-30,Flyweight,Red
Darren Stewart,Edmen Shahbazyan,False,2018-11-30,Middleweight,Blue
Juan Espino,Justin Frazier,True,2018-11-30,Heavyweight,Red
Rick Glenn,Kevin Aguilar,False,2018-11-30,Featherweight,Blue
Ji Yeon Kim,Antonina Shevchenko,False,2018-11-30,WomenFlyweight,Blue
Rafael Dos Anjos,Kamaru Usman,False,2018-11-30,Welterweight,Blue
Pedro Munhoz,Bryan Caraway,False,2018-11-30,Bantamweight,Red
Pannie Kianzad,Macy Chiasson,True,2018-11-30,WomenFeatherweight,Blue
Roosevelt Roberts,Darrell Horcher,False,2018-11-30,Lightweight,Red
Julija Stoliarenko,Leah Letson,False,2018-11-30,WomenFeatherweight,Blue
Tim Means,Ricky Rainey,False,2018-11-30,Welterweight,Red
Maurice Greene,Michel Batista,False,2018-11-30,Heavyweight,Red
Raoni Barcelos,Chris Gutierrez,False,2018-11-30,Bantamweight,Red
Zhang Weili,Jessica Aguilar,False,2018-11-24,WomenStrawweight,Red
Song Kenan,Alex Morono,False,2018-11-24,Welterweight,Blue
Alistair Overeem,Sergei Pavlovich,False,2018-11-24,Heavyweight,Red
Wu Yanan,Lauren Mueller,False,2018-11-24,WomenFlyweight,Red
Hu Yaozong,Rashad Coulter,False,2018-11-24,LightHeavyweight,Blue
Song Yadong,Vince Morales,False,2018-11-24,Bantamweight,Red
Li Jingliang,David Zawada,False,2018-11-24,Welterweight,Red
Curtis Blaydes,Francis Ngannou,False,2018-11-24,Heavyweight,Blue
Kevin Holland,John Phillips,False,2018-11-24,Middleweight,Red
Yan Xiaonan,Syuri Kondo,False,2018-11-24,WomenStrawweight,Red
Su Mudaerji,Louis Smolka,False,2018-11-24,Bantamweight,Blue
Pingyuan Liu,Martin Day,False,2018-11-24,Bantamweight,Red
Michel Prazeres,Bartosz Fabinski,False,2018-11-17,Welterweight,Red
Guido Cannetti,Marlon Vera,False,2018-11-17,Bantamweight,Blue
Khalil Rountree Jr.,Johnny Walker,False,2018-11-17,LightHeavyweight,Blue
Cynthia Calvillo,Poliana Botelho,False,2018-11-17,WomenStrawweight,Red
Cezar Ferreira,Ian Heinisch,False,2018-11-17,Middleweight,Blue
Alexandre Pantoja,Yuta Sasaki,False,2018-11-17,Flyweight,Red
Neil Magny,Santiago Ponzinibbio,False,2018-11-17,Welterweight,Blue
Ricardo Lamas,Darren Elkins,False,2018-11-17,Featherweight,Red
Devin Powell,Jesus Pinedo,False,2018-11-17,Lightweight,Blue
Humberto Bandenay,Austin Arnett,False,2018-11-17,Featherweight,Blue
Nad Narimani,Anderson Dos Santos,False,2018-11-17,Featherweight,Red
Laureano Staropoli,Hector Aldana,False,2018-11-17,Welterweight,Red
Maycee Barber,Hannah Cifers,False,2018-11-10,WomenStrawweight,Red
Beneil Dariush,Thiago Moises,False,2018-11-10,Lightweight,Red
Michael Trizano,Luis Pena,False,2018-11-10,Lightweight,Red
Chas Skelly,Bobby Moffett,False,2018-11-10,Featherweight,Draw
Raquel Pennington,Germaine de Randamie,False,2018-11-10,WomenBantamweight,Blue
Chan Sung Jung,Yair Rodriguez,False,2018-11-10,Featherweight,Blue
Ashley Yoder,Amanda Cooper,False,2018-11-10,WomenStrawweight,Red
Donald Cerrone,Mike Perry,False,2018-11-10,Welterweight,Red
Devonte Smith,Julian Erosa,False,2018-11-10,Lightweight,Red
Joseph Morales,Eric Shelton,False,2018-11-10,Flyweight,Blue
Davi Ramos,John Gunther,False,2018-11-10,Lightweight,Red
Mark De La Rosa,Joby Sanchez,False,2018-11-10,Bantamweight,Red
Jason Knight,Jordan Rinaldi,False,2018-11-03,Featherweight,Blue
Karl Roberson,Jack Marshman,False,2018-11-03,Middleweight,Red
David Branch,Jared Cannonier,False,2018-11-03,Middleweight,Blue
Daniel Cormier,Derrick Lewis,True,2018-11-03,Heavyweight,Red
Derek Brunson,Israel Adesanya,False,2018-11-03,Middleweight,Blue
Julio Arce,Sheymon Moraes,False,2018-11-03,Featherweight,Blue
Sijara Eubanks,Roxanne Modafferi,False,2018-11-03,WomenFlyweight,Red
Chris Weidman,Jacare Souza,False,2018-11-03,Middleweight,Blue
Matt Frevola,Lando Vannata,False,2018-11-03,Lightweight,Draw
Lyman Good,Ben Saunders,False,2018-11-03,Welterweight,Red
Shane Burgos,Kurt Holobaugh,False,2018-11-03,Featherweight,Red
Adam Wieczorek,Marcos Rogerio de Lima,False,2018-11-03,Heavyweight,Blue
Misha Cirkunov,Patrick Cummins,False,2018-10-27,LightHeavyweight,Red
Gian Villante,Ed Herman,False,2018-10-27,LightHeavyweight,Red
Nordine Taleb,Sean Strickland,False,2018-10-27,Welterweight,Blue
Alex Garcia,Court McGee,False,2018-10-27,Welterweight,Blue
Michael Johnson,Artem Lobov,False,2018-10-27,Featherweight,Red
Volkan Oezdemir,Anthony Smith,False,2018-10-27,LightHeavyweight,Blue
Thibault Gouti,Nasrat Haqparast,False,2018-10-27,Lightweight,Blue
Andre Soukhamthath,Jonathan Martinez,False,2018-10-27,Bantamweight,Red
Calvin Kattar,Chris Fishgold,False,2018-10-27,Featherweight,Red
Sarah Moras,Talita Bernardo,False,2018-10-27,WomenBantamweight,Blue
Te Edwards,Don Madge,False,2018-10-27,Lightweight,Blue
Stevie Ray,Jessin Ayari,False,2018-10-27,Lightweight,Red
Arjan Bhullar,Marcelo Golm,False,2018-10-27,Heavyweight,Red
Sergio Pettis,Jussier Formiga,False,2018-10-06,Flyweight,Blue
Vicente Luque,Jalin Turner,False,2018-10-06,Welterweight,Red
Tony Ferguson,Anthony Pettis,False,2018-10-06,Lightweight,Red
Ovince Saint Preux,Dominick Reyes,False,2018-10-06,LightHeavyweight,Blue
Michelle Waterson,Felice Herrig,False,2018-10-06,WomenStrawweight,Red
Aspen Ladd,Tonya Evinger,False,2018-10-06,WomenBantamweight,Red
Derrick Lewis,Alexander Volkov,False,2018-10-06,Heavyweight,Red
Khabib Nurmagomedov,Conor McGregor,True,2018-10-06,Lightweight,Red
Scott Holtzman,Alan Patrick,False,2018-10-06,Lightweight,Red
Lina Lansberg,Yana Kunitskaya,False,2018-10-06,WomenBantamweight,Blue
Ryan LaFlare,Anthony Rocco Martin,False,2018-10-06,Welterweight,Blue
Gray Maynard,Nik Lentz,False,2018-10-06,Lightweight,Blue
Alex Oliveira,Carlo Pedersoli Jr.,False,2018-09-22,Welterweight,Red
Luis Henrique,Ryan Spann,False,2018-09-22,LightHeavyweight,Blue
Charles Oliveira,Christos Giagos,False,2018-09-22,Lightweight,Red
Randa Markos,Marina Rodriguez,False,2018-09-22,WomenStrawweight,Draw
Sam Alvey,Rogerio Nogueira,False,2018-09-22,LightHeavyweight,Blue
Francisco Trinaldo,Evan Dunham,False,2018-09-22,Lightweight,Red
Thiago Santos,Eryk Anders,False,2018-09-22,LightHeavyweight,Red
Renan Barao,Andre Ewell,False,2018-09-22,Bantamweight,Blue
Sergio Moraes,Ben Saunders,False,2018-09-22,Welterweight,Red
Mayra Bueno Silva,Gillian Robertson,False,2018-09-22,WomenFlyweight,Red
Augusto Sakai,Chase Sherman,False,2018-09-22,Heavyweight,Red
Elizeu Zaleski dos Santos,Luigi Vendramini,False,2018-09-22,Welterweight,Red
Thales Leites,Hector Lombard,False,2018-09-22,Middleweight,Red
Livinha Souza,Alex Chambers,False,2018-09-22,WomenStrawweight,Red
Rustam Khabilov,Kajan Johnson,False,2018-09-15,Lightweight,Red
Andrei Arlovski,Shamil Abdurakhimov,False,2018-09-15,Heavyweight,Blue
Aleksei Kunchenko,Thiago Alves,False,2018-09-15,Welterweight,Red
Jan Blachowicz,Nikita Krylov,False,2018-09-15,LightHeavyweight,Red
Khalid Murtazaliev,CB Dollaway,False,2018-09-15,Middleweight,Red
Mark Hunt,Aleksei Oleinik,False,2018-09-15,Heavyweight,Blue
Petr Yan,Jin Soo Son,False,2018-09-15,Bantamweight,Red
Mairbek Taisumov,Desmond Green,False,2018-09-15,Lightweight,Red
Magomed Ankalaev,Marcin Prachnio,False,2018-09-15,LightHeavyweight,Red
Adam Yandiev,Jordan Johnson,False,2018-09-15,Middleweight,Blue
Ramazan Emeev,Stefan Sekulic,False,2018-09-15,Welterweight,Red
Merab Dvalishvili,Terrion Ware,False,2018-09-15,Bantamweight,Red
Jimmie Rivera,John Dodson,False,2018-09-08,Bantamweight,Red
Jessica Andrade,Karolina Kowalkiewicz,False,2018-09-08,WomenStrawweight,Red
Zabit Magomedsharipov,Brandon Davis,False,2018-09-08,Featherweight,Red
Aljamain Sterling,Cody Stamann,False,2018-09-08,Bantamweight,Red
Abdul Razak Alhassan,Niko Price,False,2018-09-08,Welterweight,Red
Carla Esparza,Tatiana Suarez,False,2018-09-08,WomenStrawweight,Blue
Geoff Neal,Frank Camacho,False,2018-09-08,Welterweight,Red
Tyron Woodley,Darren Till,True,2018-09-08,Welterweight,Red
Charles Byrd,Darren Stewart,False,2018-09-08,Middleweight,Blue
Jim Miller,Alex White,False,2018-09-08,Lightweight,Red
Irene Aldana,Lucie Pudilova,False,2018-09-08,WomenBantamweight,Red
Diego Sanchez,Craig White,False,2018-09-08,Welterweight,Red
Robert Sanchez,Jarred Brooks,False,2018-09-08,Flyweight,Blue
Cortney Casey,Angela Hill,False,2018-08-25,WomenStrawweight,Red
Cory Sandhagen,Iuri Alcantara,False,2018-08-25,Bantamweight,Red
John Moraga,Deiveson Figueiredo,False,2018-08-25,Flyweight,Blue
Eryk Anders,Tim Williams,False,2018-08-25,Middleweight,Red
James Krause,Warlley Alves,False,2018-08-25,Welterweight,Red
Jake Ellenberger,Bryan Barberena,False,2018-08-25,Welterweight,Blue
Justin Gaethje,James Vick,False,2018-08-25,Lightweight,Red
Michael Johnson,Andre Fili,False,2018-08-25,Featherweight,Red
Joanne Calderwood,Kalindra Faria,False,2018-08-25,WomenFlyweight,Red
Andrew Sanchez,Markus Perez,False,2018-08-25,Middleweight,Red
Rani Yahya,Luke Sanders,False,2018-08-25,Bantamweight,Red
Mickey Gall,George Sullivan,False,2018-08-25,Welterweight,Red
Drew Dober,Jon Tuck,False,2018-08-25,Lightweight,Red
Thiago Santos,Kevin Holland,False,2018-08-04,Middleweight,Red
TJ Dillashaw,Cody Garbrandt,True,2018-08-04,Bantamweight,Red
Ricardo Ramos,Kyung Ho Kang,False,2018-08-04,Bantamweight,Red
Polyana Viana,JJ Aldrich,False,2018-08-04,WomenStrawweight,Blue
Ricky Simon,Montel Jackson,False,2018-08-04,Bantamweight,Red
Cub Swanson,Renato Moicano,False,2018-08-04,Featherweight,Blue
Pedro Munhoz,Brett Johns,False,2018-08-04,Bantamweight,Red
Demetrious Johnson,Henry Cejudo,True,2018-08-04,Flyweight,Blue
Matt Sayles,Sheymon Moraes,False,2018-08-04,Featherweight,Blue
