R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Victoria Leonardo,Manon Fiorot,0,0,0,0,0,0
Wu Yanan,Joselyne Edwards,1,0,2,0,0,0
Punahele Soriano,Dusko Todorovic,1,0,0,1,0,0
Carlos Felipe,Justin Tafa,1,0,1,1,0,1
Carlos Condit,Matt Brown,8,0,9,15,0,11
David Zawada,Ramazan Emeev,1,0,2,4,0,1
Joaquin Buckley,Alessio Di Chirico,2,0,1,3,0,5
Santiago Ponzinibbio,Li Jingliang,9,0,2,9,0,4
Max Holloway,Calvin Kattar,17,0,6,6,0,2
Sarah Moras,Vanessa Melo,3,0,5,0,0,3
Jacob Kilburn,Austin Lingo,0,0,1,0,0,1
Marlon Moraes,Rob Font,5,0,3,7,0,3
Sijara Eubanks,Pannie Kianzad,4,0,3,2,0,2
Deron Winn,Antonio Arroyo,1,0,2,0,0,1
Stephen Thompson,Geoff Neal,10,0,5,5,0,0
Jose Aldo,Marlon Vera,10,0,6,10,0,5
Anthony Pettis,Alex Morono,10,0,9,7,0,4
Marcin Tybura,Greg Hardy,7,0,5,4,0,3
Michel Pereira,Khaos Williams,2,0,2,2,0,0
Gillian Robertson,Taila Santos,6,0,2,1,0,1
Jimmy Flick,Cody Durden,0,0,0,0,0,1
Tafon Nchukwi,Jamie Pickett,0,0,0,0,0,0
Christos Giagos,Carlton Minus,3,0,4,0,0,1
Renato Moicano,Rafael Fiziev,6,0,3,2,0,1
Kevin Holland,Jacare Souza,7,0,2,9,0,5
Mackenzie Dern,Virna Jandiroba,4,0,1,2,0,1
Tony Ferguson,Charles Oliveira,15,0,2,17,0,9
Deiveson Figueiredo,Brandon Moreno,9,0,1,6,0,3
Junior Dos Santos,Ciryl Gane,15,0,7,3,0,0
Gavin Tucker,Billy Quarantillo,3,0,1,3,0,0
Cub Swanson,Daniel Pineda,11,0,7,4,0,4
Tecia Torres,Sam Hughes,7,0,5,0,0,0
Chase Hooper,Peter Barrett,1,0,1,0,0,1
Gabriel Benitez,Justin Jaynes,5,0,4,1,0,1
Roman Dolidze,John Allan,1,0,0,0,0,1
Ilia Topuria,Damon Jackson,1,0,0,1,0,3
Louis Smolka,Jose Quinonez,7,0,7,5,0,3
Gian Villante,Jake Collier,7,0,9,3,0,4
Ovince Saint Preux,Jamahal Hill,13,0,9,1,0,1
Matt Wiman,Jordan Leavitt,10,0,7,0,0,0
Jack Hermansson,Marvin Vettori,8,0,3,5,0,3
Ashlee Evans-Smith,Norma Dumont,3,0,4,0,0,1
Jonathan Pearce,Kai Kamaka,0,0,1,1,0,0
Miguel Baeza,Takashi Sato,2,0,0,2,0,1
Josh Parisian,Parker Porter,0,0,0,0,0,1
Anthony Smith,Devin Clark,8,0,6,6,0,4
Spike Carlyle,Bill Algeo,1,0,1,0,0,1
Martin Day,Anderson Dos Santos,0,0,2,0,0,2
Luke Sanders,Nate Maness,3,0,3,1,0,0
Gina Mazany,Rachael Ostovich,1,0,4,1,0,2
Su Mudaerji,Malcolm Gordon,1,0,1,0,0,1
Brandon Moreno,Brandon Royval,5,0,3,2,0,0
Joaquin Buckley,Jordan Wright,1,0,1,1,0,0
Katlyn Chookagian,Cynthia Calvillo,7,0,4,6,0,2
Antonina Shevchenko,Ariane Lipski,2,0,2,2,0,2
Valentina Shevchenko,Jennifer Maia,8,0,2,3,0,2
Deiveson Figueiredo,Alex Perez,8,0,1,6,0,1
Mauricio Rua,Paul Craig,11,0,10,5,0,5
Mike Perry,Tim Means,7,0,6,12,0,10
Alan Jouban,Jared Gooden,7,0,5,0,0,0
Daniel Rodriguez,Nicolas Dalby,3,0,0,2,0,4
Louis Cosce,Sasha Palatnikov,0,0,0,0,0,0
Kyle Daukaus,Dustin Stoltzfus,0,0,1,0,0,0
Ashley Yoder,Miranda Granger,2,0,5,1,0,1
Kay Hansen,Cory McKenna,1,0,0,0,0,0
Randa Markos,Kanako Murata,6,0,9,0,0,0
Brendan Allen,Sean Strickland,3,0,0,8,0,3
Geraldo de Freitas,Tony Gravely,1,0,1,0,0,1
Alex Morono,Rhys McKee,6,0,4,0,0,1
Abdul Razak Alhassan,Khaos Williams,4,0,2,1,0,0
Paul Felder,Rafael Dos Anjos,9,0,5,18,0,11
Don'Tale Mayes,Roque Martinez,0,0,2,0,0,1
Thiago Santos,Glover Teixeira,13,0,6,14,0,5
Andrei Arlovski,Tanner Boser,18,0,14,3,0,1
Alexandr Romanov,Marcos Rogerio de Lima,1,0,0,6,0,4
Claudia Gadelha,Yan Xiaonan,7,0,4,5,0,0
Darren Elkins,Eduardo Garagorri,14,0,8,1,0,1
Giga Chikadze,Jamey Simmons,4,0,0,0,0,0
Raoni Barcelos,Khalid Taha,4,0,0,1,0,2
Trevin Giles,Bevon Lewis,3,0,2,1,0,2
Gustavo Lopez,Anthony Birchak,0,0,1,2,0,2
Max Griffin,Ramiz Brahimaj,3,0,6,0,0,0
Chris Gruetzemacher,Alexander Hernandez,2,0,2,3,0,2
Adrian Yanez,Victor Rodriguez,0,0,0,0,0,0
Maurice Greene,Greg Hardy,4,0,2,3,0,3
Sean Strickland,Jack Marshman,7,0,3,3,0,4
Bobby Green,Thiago Moises,8,0,6,2,0,2
Kevin Holland,Charlie Ontiveros,6,0,2,0,0,0
Uriah Hall,Anderson Silva,8,0,7,17,0,7
Bryce Mitchell,Andre Fili,4,0,0,9,0,6
