R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Luke Sanders,Patrick Williams,1,0,2,1,0,2
Arjan Bhullar,Adam Wieczorek,1,0,0,1,0,0
Zabit Magomedsharipov,Kyle Bochniak,2,0,0,2,0,2
Karolina Kowalkiewicz,Felice Herrig,4,0,2,5,0,1
Renato Moicano,Calvin Kattar,3,0,1,2,0,0
Joe Lauzon,Chris Gruetzemacher,14,0,11,1,0,2
Rose Namajunas,Joanna Jedrzejczyk,5,0,2,8,0,1
Khabib Nurmagomedov,Al Iaquinta,9,0,0,8,0,2
Bec Rawlings,Ashlee Evans-Smith,2,0,4,2,0,3
Evan Dunham,Olivier Aubin-Mercier,11,0,7,6,0,2
Devin Clark,Mike Rodriguez,2,0,2,0,0,0
Danny Roberts,Oliver Enkamp,3,0,2,0,0,1
John Phillips,Charles Byrd,0,0,0,0,0,0
Tom Duquesnoy,Terrion Ware,1,0,1,0,0,2
Paul Craig,Magomed Ankalaev,1,0,2,0,0,0
Leon Edwards,Peter Sobotta,6,0,2,4,0,4
Jimi Manuwa,Jan Blachowicz,6,0,3,4,0,4
Fabricio Werdum,Alexander Volkov,11,0,4,3,0,0
Danny Henry,Hakeem Dawodu,1,0,0,0,0,0
Stevie Ray,Kajan Johnson,5,0,2,3,0,1
Mark Godbeer,Dmitry Sosnovskiy,2,0,1,0,0,0
Stefan Struve,Andrei Arlovski,12,0,7,15,0,9
Ashley Yoder,Mackenzie Dern,0,0,2,0,0,0
Frankie Edgar,Brian Ortega,16,0,6,5,0,1
Cristiane Justino,Yana Kunitskaya,4,0,0,0,0,0
Beneil Dariush,Alexander Hernandez,8,0,4,0,0,0
Cat Zingano,Ketlen Vieira,2,0,2,3,0,0
John Dodson,Pedro Munhoz,8,0,4,5,0,3
Sean O'Malley,Andre Soukhamthath,1,0,0,1,0,2
Mike Pyle,Zak Ottow,10,0,8,2,0,2
CB Dollaway,Hector Lombard,10,0,8,3,0,7
Bryan Caraway,Cody Stamann,6,0,2,2,0,0
Jordan Johnson,Adam Milstead,2,0,0,1,0,1
Jessica Andrade,Tecia Torres,8,0,4,6,0,1
Josh Emmett,Jeremy Stephens,4,0,1,14,0,13
Renan Barao,Brian Kelleher,9,0,4,2,0,1
Sara McMann,Marion Reneau,5,0,4,4,0,3
Ovince Saint Preux,Ilir Latifi,10,0,5,6,0,3
Mike Perry,Max Griffin,4,0,2,1,0,2
Ben Saunders,Alan Jouban,8,0,5,6,0,4
Maryna Moroz,Angela Hill,3,0,2,2,0,4
Albert Morales,Manny Bermudez,1,0,4,0,0,0
Sam Alvey,Marcin Prachnio,8,0,5,0,0,0
Rani Yahya,Russell Doane,9,0,4,3,0,4
Eric Shelton,Alex Perez,1,0,2,1,0,0
Geoff Neal,Brian Camozzi,0,0,0,0,0,2
Steven Peterson,Brandon Davis,0,0,0,0,0,1
Derrick Lewis,Marcin Tybura,9,0,3,3,0,2
Thiago Alves,Curtis Millender,14,0,8,0,0,0
Jared Gordon,Diego Ferreira,2,0,0,3,0,2
Sage Northcutt,Thibault Gouti,4,0,2,1,0,3
James Vick,Francisco Trinaldo,8,0,1,12,0,4
Donald Cerrone,Yancy Medeiros,19,0,7,6,0,5
Oskar Piechota,Tim Williams,1,0,0,0,0,0
Robert Sanchez,Joby Sanchez,0,0,1,1,0,2
Joshua Burkman,Alex Morono,6,0,12,2,0,2
Sarah Moras,Lucie Pudilova,2,0,1,1,0,1
Alexander Volkanovski,Jeremy Kennedy,3,0,0,3,0,0
Rob Wilkinson,Israel Adesanya,0,0,1,0,0,0
Mark Hunt,Curtis Blaydes,8,0,7,3,0,2
Tyson Pedro,Saparbeg Safarov,2,0,1,0,0,1
Damien Brown,Dong Hyun Ma,2,0,3,2,0,2
Tai Tuivasa,Cyril Asker,1,0,0,2,0,2
Yoel Romero,Luke Rockhold,8,0,1,6,0,2
Jake Matthews,Li Jingliang,5,0,3,6,0,2
Luke Jumeau,Daichi Abe,1,0,1,1,0,0
Ross Pearson,Mizuto Hirota,11,0,12,1,0,4
Teruto Ishihara,Jose Quinonez,3,0,3,3,0,1
Jussier Formiga,Ben Nguyen,6,0,4,4,0,1
Timothy Johnson,Marcelo Golm,3,0,3,1,0,0
Michel Prazeres,Desmond Green,7,0,2,1,0,1
Thiago Santos,Anthony Smith,8,0,4,4,0,2
Valentina Shevchenko,Priscila Cachoeira,3,0,2,0,0,0
Sergio Moraes,Tim Means,6,0,3,9,0,7
Douglas Silva de Andrade,Marlon Vera,2,0,2,4,0,3
Alan Patrick,Damir Hadzovic,4,0,1,1,0,1
Lyoto Machida,Eryk Anders,14,0,8,2,0,0
Maia Stevenson,Polyana Viana,0,0,0,0,0,0
Iuri Alcantara,Joe Soto,9,0,7,3,0,4
Deiveson Figueiredo,Joseph Morales,2,0,0,1,0,0
Jordan Rinaldi,Gregor Gillespie,1,0,1,3,0,0
Jacare Souza,Derek Brunson,7,0,2,9,0,3
Mirsad Bektic,Godofredo Pepey,4,0,1,5,0,5
Dennis Bermudez,Andre Fili,9,0,5,5,0,4
Katlyn Chookagian,Mara Romero Borella,2,0,1,1,0,0
Drew Dober,Frank Camacho,4,0,5,1,0,1
Randa Markos,Juliana Lima,3,0,4,3,0,3
Erik Koch,Bobby Green,4,0,4,4,0,4
Niko Price,George Sullivan,2,0,2,3,0,2
Vinc Pichel,Joaquim Silva,3,0,1,3,0,0
Justine Kish,Ji Yeon Kim,2,0,1,0,0,1
Austin Arnett,Cory Sandhagen,0,0,0,0,0,0
Gian Villante,Francimar Barroso,5,0,6,4,0,4
Calvin Kattar,Shane Burgos,1,0,0,3,0,0
Stipe Miocic,Francis Ngannou,11,0,2,6,0,0
Dustin Ortiz,Alexandre Pantoja,6,0,5,2,0,0
Daniel Cormier,Volkan Oezdemir,8,0,2,3,0,0
Thomas Almeida,Rob Font,5,0,2,4,0,2
Kyle Bochniak,Brandon Davis,1,0,2,0,0,0
Sabah Homasi,Abdul Razak Alhassan,0,0,2,2,0,1
Matt Bessette,Enrique Barzola,0,0,0,3,0,1
Dan Ige,Julio Arce,0,0,0,0,0,0
Islam Makhachev,Gleison Tibau,3,0,1,16,0,10
Matt Frevola,Marco Polo Reyes,0,0,0,3,0,1
Kyung Ho Kang,Guido Cannetti,2,0,2,1,0,1
James Krause,Alex White,5,0,3,3,0,3
Darren Elkins,Michael Johnson,13,0,4,9,0,8
Kamaru Usman,Emil Meek,6,0,0,1,0,0
Jeremy Stephens,Dooho Choi,13,0,13,3,0,1
Paige VanZant,Jessica-Rose Clark,4,0,2,1,0,0
Talita Bernardo,Irene Aldana,0,0,1,0,0,2
Mads Burnell,Mike Santiago,0,0,1,0,0,1
Danielle Taylor,JJ Aldrich,2,0,1,1,0,1
Kalindra Faria,Jessica Eye,0,0,1,1,0,6
Khabib Nurmagomedov,Edson Barboza,8,0,0,13,0,4
Cristiane Justino,Holly Holm,3,0,0,4,0,3
Dan Hooker,Marc Diakiese,4,0,3,3,0,1
Marvin Vettori,Omari Akhmedov,2,0,1,5,0,3
Cynthia Calvillo,Carla Esparza,3,0,0,3,0,2
Myles Jury,Rick Glenn,7,0,2,2,0,1
Khalil Rountree Jr.,Michal Oleksiejczuk,2,0,2,0,0,0
Carlos Condit,Neil Magny,7,0,6,12,0,5
Louis Smolka,Matheus Nicolau,5,0,4,2,0,0
Tim Elliott,Mark De La Rosa,3,0,6,0,0,0
Julian Marquez,Darren Stewart,0,0,0,0,0,3
Ricardo Lamas,Josh Emmett,9,0,3,3,0,1
Glover Teixeira,Misha Cirkunov,9,0,4,4,0,1
Chad Laprise,Galore Bofando,5,0,2,1,0,0
Robbie Lawler,Rafael Dos Anjos,13,0,5,16,0,7
Nordine Taleb,Danny Roberts,5,0,2,3,0,1
Jared Cannonier,Jan Blachowicz,3,0,2,3,0,4
Santiago Ponzinibbio,Mike Perry,7,0,2,4,0,1
Alessio Di Chirico,Oluwale Bamgbose,1,0,2,1,0,3
John Makdessi,Abel Trujillo,7,0,6,6,0,4
Jordan Mein,Erick Silva,3,0,4,7,0,7
Luke Sanders,Andre Soukhamthath,1,0,1,0,0,2
Eryk Anders,Markus Perez,1,0,0,0,0,0
Jason Knight,Gabriel Benitez,4,0,2,3,0,2
Albert Morales,Benito Lopez,1,0,3,0,0,0
Scott Holtzman,Darrell Horcher,3,0,2,1,0,1
Marlon Moraes,Aljamain Sterling,1,0,1,6,0,2
Cub Swanson,Brian Ortega,10,0,3,4,0,1
Alexis Davis,Liz Carmouche,5,0,2,3,0,3
Frankie Saenz,Merab Dvalishvili,3,0,3,0,0,0
Chris Gruetzemacher,Davi Ramos,1,0,1,0,0,1
Alejandro Perez,Iuri Alcantara,4,0,2,9,0,6
Carls John De Tomas,Alex Perez,0,0,1,0,0,0
Antonio Braga Neto,Trevin Giles,1,0,1,1,0,0
Henry Cejudo,Sergio Pettis,5,0,2,7,0,2
David Teymur,Drakkar Klose,3,0,0,2,0,0
Alistair Overeem,Francis Ngannou,8,0,4,5,0,0
Tecia Torres,Michelle Waterson,5,0,1,2,0,1
Max Holloway,Jose Aldo,14,0,3,8,0,2
Charles Oliveira,Paul Felder,10,0,8,6,0,3
Alex Oliveira,Yancy Medeiros,7,0,3,5,0,5
Eddie Alvarez,Justin Gaethje,3,0,3,1,0,0
Sabah Homasi,Abdul Razak Alhassan,0,0,1,1,0,1
Jeremy Kimball,Dominick Reyes,1,0,1,1,0,0
Justin Willis,Allen Crowder,1,0,0,0,0,0
Amanda Cooper,Angela Magana,1,0,2,0,0,2
Felice Herrig,Cortney Casey,4,0,1,3,0,3
Eric Spicely,Gerald Meerschaert,2,0,2,2,0,1
Barb Honchak,Lauren Murphy,0,0,0,1,0,3
Christina Marks,Montana De La Rosa,0,0,0,0,0,0
Andrew Sanchez,Ryan Janes,2,0,1,1,0,2
DeAnna Bennett,Melinda Fabian,0,0,0,0,0,0
Nicco Montano,Roxanne Modafferi,0,0,0,0,0,1
Sean O'Malley,Terrion Ware,0,0,0,0,0,1
Joe Soto,Brett Johns,3,0,3,2,0,0
Ariel Beck,Shana Dobson,0,0,0,0,0,0
Karine Gevorgyan,Rachael Ostovich,0,0,0,0,0,0
Gillian Robertson,Emily Whitmire,0,0,0,0,0,0
Muslim Salikhov,Alex Garcia,0,0,0,4,0,3
Michael Bisping,Kelvin Gastelum,20,0,8,8,0,4
Song Yadong,Bharat Kandare,0,0,0,0,0,0
Zabit Magomedsharipov,Sheymon Moraes,1,0,0,0,0,0
Kailin Curran,Yan Xiaonan,1,0,5,0,0,0
Song Kenan,Bobby Nash,0,0,0,0,0,2
Li Jingliang,Zak Ottow,5,0,2,2,0,1
Wang Guan,Alex Caceres,0,0,0,8,0,9
Wu Yanan,Gina Mazany,0,0,0,0,0,1
Cyril Asker,Hu Yaozong,1,0,2,0,0,0
Chase Sherman,Shamil Abdurakhimov,2,0,2,2,0,2
Wuliji Buren,Rolando Dy,0,0,0,0,0,2
Elias Theodorou,Daniel Kelly,5,0,2,6,0,2
Bec Rawlings,Jessica-Rose Clark,2,0,3,0,0,0
Jake Matthews,Bojan Velickovic,4,0,3,2,0,3
Tim Means,Belal Muhammad,9,0,6,3,0,2
Alexander Volkanovski,Shane Young,2,0,0,0,0,0
Ryan Benoit,Ashkan Mokhtarian,2,0,3,0,0,1
Fabricio Werdum,Marcin Tybura,10,0,4,3,0,1
Nik Lentz,Will Brooks,11,0,7,1,0,2
Rashad Coulter,Tai Tuivasa,0,0,1,0,0,0
Damien Brown,Frank Camacho,2,0,2,0,0,1
Jenel Lausa,Eric Shelton,1,0,1,0,0,2
Anthony Hamilton,Adam Wieczorek,3,0,6,0,0,0
Alex Chambers,Nadia Kassem,1,0,2,0,0,0
John Dodson,Marlon Moraes,8,0,3,0,0,1
Raphael Assuncao,Matthew Lopez,9,0,2,2,0,1
Nate Marquardt,Cezar Ferreira,13,0,11,7,0,4
Matt Brown,Diego Sanchez,13,0,10,16,0,10
Tatiana Suarez,Viviane Pereira,1,0,0,2,0,0
Dustin Poirier,Anthony Pettis,13,0,5,7,0,5
Joe Lauzon,Clay Guida,14,0,10,13,0,11
Junior Albini,Andrei Arlovski,1,0,0,14,0,9
Darren Stewart,Karl Roberson,0,0,2,0,0,0
Angela Hill,Nina Ansaroff,2,0,3,1,0,2
Sage Northcutt,Michel Quinones,3,0,2,0,0,1
Court McGee,Sean Strickland,7,0,5,5,0,2
Jake Collier,Marcel Fortuna,2,0,3,1,0,1
Joanna Jedrzejczyk,Rose Namajunas,8,0,0,4,0,2
Ovince Saint Preux,Corey Anderson,9,0,5,6,0,3
Walt Harris,Mark Godbeer,3,0,5,1,0,1
Johny Hendricks,Paulo Costa,13,0,7,2,0,0
Cody Garbrandt,TJ Dillashaw,6,0,0,10,0,3
James Vick,Joe Duffy,7,0,1,4,0,1
Stephen Thompson,Jorge Masvidal,8,0,3,9,0,5
Michael Bisping,Georges St-Pierre,20,0,7,19,0,2
Aleksei Oleinik,Curtis Blaydes,4,0,1,2,0,2
Randy Brown,Mickey Gall,3,0,2,3,0,0
Aiemann Zahabi,Ricardo Ramos,1,0,0,1,0,0
Thiago Santos,Jack Hermansson,7,0,4,3,0,1
Francisco Trinaldo,Jim Miller,11,0,4,17,0,10
Antonio Carlos Junior,Jack Marshman,5,0,3,2,0,1
Vicente Luque,Niko Price,4,0,2,2,0,1
Derek Brunson,Lyoto Machida,8,0,3,14,0,7
Pedro Munhoz,Rob Font,4,0,3,4,0,1
Demian Maia,Colby Covington,19,0,7,7,0,1
John Lineker,Marlon Vera,10,0,3,4,0,2
Hacran Dias,Jared Gordon,3,0,4,1,0,0
Deiveson Figueiredo,Jarred Brooks,1,0,0,1,0,0
Elizeu Zaleski dos Santos,Max Griffin,3,0,1,1,0,1
Marcelo Golm,Christian Colombo,0,0,0,0,0,2
Jan Blachowicz,Devin Clark,2,0,4,2,0,1
Artem Lobov,Andre Fili,2,0,3,4,0,4
Karolina Kowalkiewicz,Jodie Esquibel,3,0,2,0,0,0
Donald Cerrone,Darren Till,19,0,6,3,0,1
Sam Alvey,Ramazan Emeev,8,0,4,0,0,0
Oskar Piechota,Jonathan Wilson,0,0,0,1,0,2
Damian Stasiak,Brian Kelleher,2,0,2,1,0,1
Marcin Held,Nasrat Haqparast,0,0,3,0,0,0
Salim Touahri,Warlley Alves,0,0,0,4,0,2
Felipe Arantes,Josh Emmett,5,0,5,2,0,1
Lina Lansberg,Aspen Ladd,1,0,1,0,0,0
Mara Romero Borella,Kalindra Faria,0,0,0,0,0,0
Tom Duquesnoy,Cody Stamann,1,0,0,1,0,0
Fabricio Werdum,Walt Harris,9,0,4,3,0,4
Lando Vannata,Bobby Green,1,0,2,4,0,3
Beneil Dariush,Evan Dunham,8,0,3,11,0,6
Demetrious Johnson,Ray Borg,14,0,2,5,0,2
Pearl Gonzalez,Poliana Botelho,0,0,1,0,0,0
Tony Ferguson,Kevin Lee,12,0,1,9,0,2
John Moraga,Bibulatov Magomed,6,0,5,1,0,0
Matt Schnell,Marco Beltran,0,0,2,3,0,2
Thales Leites,Brad Tavares,12,0,6,10,0,4
Takanori Gomi,Dong Hyun Ma,4,0,8,1,0,2
Teruto Ishihara,Rolando Dy,2,0,3,0,0,1
Jussier Formiga,Yuta Sasaki,5,0,4,3,0,3
Syuri Kondo,Chan-Mi Jeon,0,0,0,0,0,1
Claudia Gadelha,Jessica Andrade,4,0,2,7,0,4
Keita Nakamura,Alex Morono,2,0,5,2,0,1
Gokhan Saki,Henrique da Silva,0,0,0,2,0,3
Ovince Saint Preux,Yushin Okami,8,0,5,13,0,5
Shinsho Anzai,Luke Jumeau,1,0,1,1,0,0
Daichi Abe,Hyun Gyu Lim,0,0,0,3,0,3
Hector Lombard,Anthony Smith,3,0,6,3,0,2
Mike Perry,Alex Reyes,3,0,1,0,0,0
Kamaru Usman,Sergio Moraes,5,0,0,6,0,2
Gregor Gillespie,Jason Gonzalez,2,0,0,1,0,1
Anthony Hamilton,Daniel Spitz,3,0,5,0,0,1
Anthony Rocco Martin,Olivier Aubin-Mercier,4,0,3,5,0,2
Luke Rockhold,David Branch,5,0,2,3,0,2
Justin Ledet,Azunna Anyanwu,2,0,0,0,0,0
Krzysztof Jotko,Uriah Hall,6,0,2,5,0,6
Jason Saggo,Gilbert Burns,3,0,2,4,0,2
Neil Magny,Rafael Dos Anjos,12,0,4,15,0,7
Sara McMann,Ketlen Vieira,5,0,3,2,0,0
Ilir Latifi,Tyson Pedro,5,0,3,2,0,0
Gavin Tucker,Rick Glenn,1,0,0,1,0,1
Henry Cejudo,Wilson Reis,4,0,2,6,0,3
Amanda Nunes,Valentina Shevchenko,7,0,1,3,0,1
Sarah Moras,Ashlee Evans-Smith,1,0,1,2,0,2
Jeremy Stephens,Gilbert Melendez,12,0,13,1,0,4
Mitch Clarke,Alex White,2,0,4,2,0,3
Kajan Johnson,Adriano Martins,2,0,1,4,0,2
Luis Henrique,Arjan Bhullar,2,0,2,0,0,0
Marion Reneau,Talita Bernardo,3,0,3,0,0,0
Darren Till,Bojan Velickovic,2,0,1,2,0,2
Siyar Bahadurzada,Rob Wilkinson,2,0,2,0,0,0
Michel Prazeres,Mads Burnell,6,0,2,0,0,0
Rustam Khabilov,Desmond Green,7,0,2,1,0,0
Alexander Volkov,Stefan Struve,2,0,0,12,0,6
Leon Edwards,Bryan Barberena,5,0,2,4,0,2
Mairbek Taisumov,Felipe Silva,5,0,1,1,0,0
Francimar Barroso,Aleksandar Rakic,4,0,3,0,0,0
Mike Santiago,Zabit Magomedsharipov,0,0,0,0,0,0
Thibault Gouti,Andrew Holbrook,0,0,3,2,0,2
Bojan Mihajlovic,Abdul-Kerim Edilov,0,0,2,0,0,0
Dustin Ortiz,Hector Sandoval,5,0,5,2,0,1
Alejandro Perez,Andre Soukhamthath,3,0,2,0,0,1
Alan Jouban,Niko Price,6,0,3,1,0,1
Martin Bravo,Humberto Bandenay,1,0,0,0,0,0
Randa Markos,Alexa Grasso,3,0,3,1,0,1
Brad Scott,Jack Hermansson,3,0,3,2,0,1
Sergio Pettis,Brandon Moreno,6,0,2,3,0,0
Sam Alvey,Rashad Evans,7,0,4,14,0,7
Henry Briones,Rani Yahya,1,0,2,8,0,4
Alvaro Herrera Mendoza,Jordan Rinaldi,1,0,1,0,0,1
Joseph Morales,Robert Sanchez,0,0,0,0,0,0
Jose Quinonez,Diego Rivas,2,0,1,2,0,0
Jimi Manuwa,Volkan Oezdemir,6,0,2,2,0,0
Tyron Woodley,Demian Maia,7,0,3,19,0,6
Ricardo Lamas,Jason Knight,8,0,3,4,0,1
Daniel Cormier,Jon Jones,8,0,1,16,0,1
Robbie Lawler,Donald Cerrone,12,0,5,19,0,5
Cristiane Justino,Tonya Evinger,2,0,0,0,0,0
Brian Ortega,Renato Moicano,3,0,1,3,0,0
Aljamain Sterling,Renan Barao,5,0,2,9,0,3
Kailin Curran,Aleksandra Albu,1,0,4,1,0,0
Andre Fili,Calvin Kattar,4,0,3,0,0,0
Eric Shelton,Jarred Brooks,0,0,1,0,0,0
Joshua Burkman,Drew Dober,6,0,11,3,0,5
Dennis Bermudez,Darren Elkins,9,0,4,12,0,4
Jimmie Rivera,Thomas Almeida,4,0,0,5,0,1
Lyman Good,Elizeu Zaleski dos Santos,1,0,0,2,0,1
Damian Grabowski,Chase Sherman,0,0,2,1,0,2
Ryan LaFlare,Alex Oliveira,6,0,1,6,0,3
Rafael Natal,Eryk Anders,9,0,7,0,0,0
Patrick Cummins,Gian Villante,5,0,4,5,0,5
Chris Weidman,Kelvin Gastelum,9,0,3,8,0,3
Brian Kelleher,Marlon Vera,1,0,0,3,0,2
Shane Burgos,Godofredo Pepey,2,0,0,5,0,4
Kyle Bochniak,Jeremy Kennedy,1,0,1,2,0,0
Timothy Johnson,Junior Albini,3,0,2,0,0,0
Frankie Perez,Chris Wade,1,0,2,4,0,2
Danny Roberts,Bobby Nash,2,0,1,0,0,1
Jack Marshman,Ryan Janes,1,0,1,1,0,1
Joanne Calderwood,Cynthia Calvillo,3,0,2,2,0,0
James Mulheron,Justin Willis,0,0,0,0,0,0
Alexandre Pantoja,Neil Seery,1,0,0,3,0,3
Gunnar Nelson,Santiago Ponzinibbio,7,0,2,6,0,2
Khalil Rountree Jr.,Paul Craig,1,0,2,1,0,1
Stevie Ray,Paul Felder,5,0,1,5,0,3
Brett Johns,Albert Morales,1,0,0,1,0,2
Charlie Ward,Galore Bofando,0,0,1,0,0,0
Danny Henry,Daniel Teymur,0,0,0,0,0,0
Leslie Smith,Amanda Lemos,3,0,3,0,0,0
Daniel Omielanczuk,Curtis Blaydes,4,0,4,1,0,2
Thiago Santos,Gerald Meerschaert,6,0,4,2,0,0
Anthony Pettis,Jim Miller,6,0,5,17,0,9
Chad Laprise,Brian Camozzi,4,0,2,0,0,1
Fabricio Werdum,Alistair Overeem,9,0,3,7,0,4
Travis Browne,Aleksei Oleinik,9,0,7,3,0,1
Yoel Romero,Robert Whittaker,8,0,0,9,0,2
Rob Font,Douglas Silva de Andrade,3,0,1,2,0,1
Cody Stamann,Terrion Ware,0,0,0,0,0,0
Jordan Mein,Belal Muhammad,3,0,3,2,0,2
Trevin Giles,James Bochnovic,0,0,0,0,0,0
Marc Diakiese,Drakkar Klose,3,0,0,1,0,0
Jared Cannonier,Nick Roehrick,2,0,2,0,0,0
Dhiego Lima,Jesse Taylor,1,0,3,0,0,1
James Krause,Tom Gallicchio,4,0,3,0,0,0
Michael Johnson,Justin Gaethje,9,0,7,0,0,0
Jordan Johnson,Marcel Fortuna,1,0,0,1,0,0
Angela Hill,Ashley Yoder,1,0,3,0,0,1
Brad Tavares,Elias Theodorou,9,0,4,5,0,1
Tecia Torres,Juliana Lima,4,0,1,3,0,2
Gray Maynard,Teruto Ishihara,10,0,8,2,0,2
Ed Herman,CB Dollaway,10,0,9,9,0,8
Michael Chiesa,Kevin Lee,7,0,2,8,0,2
Vitor Miranda,Marvin Vettori,3,0,2,1,0,1
BJ Penn,Dennis Siver,12,0,12,11,0,9
Tim Means,Alex Garcia,8,0,6,4,0,2
Tim Boetsch,Johny Hendricks,11,0,10,13,0,6
Clay Guida,Erik Koch,12,0,11,4,0,3
Felice Herrig,Justine Kish,3,0,1,2,0,0
Joachim Christensen,Dominick Reyes,1,0,2,0,0,0
Josh Stansbury,Jeremy Kimball,1,0,1,0,0,1
Devin Powell,Darrell Horcher,0,0,1,0,0,1
Jared Gordon,Michel Quinones,0,0,0,0,0,0
Anthony Rocco Martin,Johnny Case,3,0,3,4,0,1
Carla Esparza,Maryna Moroz,2,0,2,3,0,1
Alex Caceres,Rolando Dy,7,0,9,0,0,0
Cyril Asker,Walt Harris,1,0,1,2,0,4
Takanori Gomi,Jon Tuck,4,0,7,3,0,4
Justin Scoggins,Yuta Sasaki,4,0,3,2,0,3
Dong Hyun Kim,Colby Covington,13,0,4,6,0,1
Tarec Saffiedine,Rafael Dos Anjos,2,0,3,14,0,7
Andrei Arlovski,Marcin Tybura,14,0,8,2,0,1
Holly Holm,Bethe Correia,3,0,3,4,0,3
Naoki Inoue,Carls John De Tomas,0,0,0,0,0,0
Li Jingliang,Frank Camacho,4,0,2,0,0,0
Kwan Ho Kwak,Russell Doane,0,0,1,2,0,4
Ji Yeon Kim,Lucie Pudilova,0,0,0,0,0,1
Ion Cutelaba,Henrique da Silva,1,0,2,2,0,2
Alexander Volkanovski,Mizuto Hirota,1,0,0,1,0,3
Derek Brunson,Daniel Kelly,7,0,3,6,0,1
Luke Jumeau,Dominique Steele,0,0,0,1,0,3
Tim Elliott,Ben Nguyen,3,0,5,3,0,1
Derrick Lewis,Mark Hunt,9,0,2,7,0,7
Damien Brown,Vinc Pichel,2,0,1,2,0,1
Dan Hooker,Ross Pearson,3,0,3,11,0,11
John Moraga,Ashkan Mokhtarian,5,0,5,0,0,0
Kiichi Kunimoto,Zak Ottow,3,0,1,1,0,1
JJ Aldrich,Chan-Mi Jeon,0,0,1,0,0,0
Raphael Assuncao,Marlon Moraes,8,0,2,0,0,0
Paulo Costa,Oluwale Bamgbose,1,0,0,1,0,2
Jose Aldo,Max Holloway,8,0,1,13,0,3
Vitor Belfort,Nate Marquardt,14,0,10,13,0,10
Antonio Carlos Junior,Eric Spicely,4,0,3,2,0,1
Johnny Eduardo,Matthew Lopez,3,0,2,1,0,1
Erick Silva,Yancy Medeiros,7,0,6,4,0,5
Claudia Gadelha,Karolina Kowalkiewicz,3,0,2,3,0,1
Viviane Pereira,Jamie Moyle,1,0,0,1,0,0
Iuri Alcantara,Brian Kelleher,9,0,5,0,0,0
Marco Beltran,Deiveson Figueiredo,3,0,1,0,0,0
Luan Chagas,Jim Wallhead,0,0,2,0,0,1
Pedro Munhoz,Damian Stasiak,3,0,3,2,0,1
Abdul Razak Alhassan,Omari Akhmedov,1,0,0,4,0,3
Volkan Oezdemir,Misha Cirkunov,1,0,0,4,0,0
Oliver Enkamp,Nordine Taleb,0,0,0,4,0,2
Jack Hermansson,Alex Nicholson,1,0,1,1,0,2
Alexander Gustafsson,Glover Teixeira,9,0,4,9,0,3
Trevor Smith,Chris Camozzi,4,0,4,9,0,9
Nicholas Musoke,Bojan Velickovic,3,0,2,1,0,2
Darren Till,Jessin Ayari,1,0,1,1,0,0
Reza Madadi,Joaquim Silva,3,0,3,2,0,0
Peter Sobotta,Ben Saunders,3,0,4,8,0,4
Marcin Held,Damir Hadzovic,0,0,2,0,0,1
Demian Maia,Jorge Masvidal,18,0,6,9,0,4
Krzysztof Jotko,David Branch,6,0,1,2,0,2
Stipe Miocic,Junior Dos Santos,10,0,2,12,0,3
Eddie Alvarez,Dustin Poirier,3,0,2,13,0,4
Chas Skelly,Jason Knight,6,0,2,3,0,1
Chase Sherman,Rashad Coulter,0,0,2,0,0,0
Frankie Edgar,Yair Rodriguez,15,0,6,6,0,0
Joanna Jedrzejczyk,Jessica Andrade,7,0,0,7,0,3
Jessica Aguilar,Cortney Casey,0,0,1,2,0,3
Joachim Christensen,Gadzhimurad Antigulov,1,0,1,1,0,0
James Vick,Marco Polo Reyes,6,0,1,3,0,0
Gabriel Benitez,Enrique Barzola,3,0,1,2,0,1
Thales Leites,Sam Alvey,11,0,6,7,0,3
Dustin Ortiz,Brandon Moreno,5,0,4,2,0,0
Cub Swanson,Artem Lobov,9,0,3,2,0,2
John Dodson,Eddie Wineland,7,0,3,5,0,5
Ovince Saint Preux,Marcos Rogerio de Lima,7,0,5,4,0,2
Al Iaquinta,Diego Sanchez,7,0,2,16,0,9
Joe Lauzon,Stevie Ray,14,0,9,4,0,1
Jake Ellenberger,Mike Perry,10,0,8,2,0,1
Hector Sandoval,Matt Schnell,1,0,1,0,0,1
Jessica Penne,Danielle Taylor,1,0,2,1,0,1
Scott Holtzman,Michael McBride,2,0,2,0,0,1
Alexis Davis,Cindy Dandois,4,0,2,0,0,0
Bryan Barberena,Joe Proctor,3,0,2,4,0,3
Demetrious Johnson,Wilson Reis,13,0,2,6,0,2
Louis Smolka,Tim Elliott,5,0,3,2,0,5
Jacare Souza,Robert Whittaker,7,0,1,8,0,2
Patrick Williams,Tom Duquesnoy,1,0,1,0,0,0
Rose Namajunas,Michelle Waterson,3,0,2,2,0,0
Jeremy Stephens,Renato Moicano,12,0,12,2,0,0
Bobby Green,Rashid Magomedov,4,0,2,4,0,1
Alexander Volkov,Roy Nelson,1,0,0,9,0,9
Aljamain Sterling,Augusto Mendes,4,0,2,1,0,1
Devin Clark,Jake Collier,1,0,1,2,0,2
Ashlee Evans-Smith,Ketlen Vieira,2,0,1,1,0,0
Zak Cummings,Nathan Coy,5,0,2,1,0,1
Anthony Smith,Andrew Sanchez,2,0,2,2,0,0
Kamaru Usman,Sean Strickland,4,0,0,5,0,1
